Cell,Parent,LineageName,Birth,Death,Type,Description,,
ABplppaa,ABplppa,ABplppaa,140,,,,,
ABprppaa,ABprppa,ABprppaa,140,,,,,
ABprpppa,ABprppp,ABprpppa,140,,,,,
ABprpppp,ABprppp,ABprpppp,140,,,,,
MSaapa,MSaap,MSaapa,145,,,,,
MSaaap,MSaaa,MSaaap,145,,,,,
MSaaaa,MSaaa,MSaaaa,145,,,,,
MSaapp,MSaap,MSaapp,145,,,,,
ABalppppp,ABalpppp,ABalppppp,148,,,,,
ABalppppa,ABalpppp,ABalppppa,148,,,,,
MSpapp,MSpap,MSpapp,150,,,,,
MSappa,MSapp,MSappa,150,,,,,
MSapap,MSapa,MSapap,150,,,,,
MSpaaa,MSpaa,MSpaaa,150,,,,,
MSpapa,MSpap,MSpapa,150,,,,,
MSpaap,MSpaa,MSpaap,150,,,,,
MSappp,MSapp,MSappp,150,,,,,
MSapaa,MSapa,MSapaa,150,,,,,
ABalppapa,ABalppap,ABalppapa,153,,,,,
ABalppapp,ABalppap,ABalppapp,153,,,,,
MSpppp,MSppp,MSpppp,155,,,,,
MSppap,MSppa,MSppap,155,,,,,
MSpppa,MSppp,MSpppa,155,,,,,
MSppaa,MSppa,MSppaa,155,,,,,
ABalapapp,ABalapap,ABalapapp,160,,,,,
ABalapppa,ABalappp,ABalapppa,160,,,,,
ABalapppp,ABalappp,ABalapppp,160,,,,,
ABalapapa,ABalapap,ABalapapa,160,,,,,
ABalppaap,ABalppaa,ABalppaap,163,,,,,
ABalppaaa,ABalppaa,ABalppaaa,163,,,,,
ABalpppap,ABalpppa,ABalpppap,165,,,,,
ABalpppaa,ABalpppa,ABalpppaa,165,,,,,
Eara,Ear,Eara,165,,,,,
ABprpappa,ABprpapp,ABprpappa,165,,,,,
ABpraaapp,ABpraaap,ABpraaapp,165,,,,,
Earp,Ear,Earp,165,,,,,
ABprpappp,ABprpapp,ABprpappp,165,,,,,
ABpraaapa,ABpraaap,ABpraaapa,165,,,,,
Dpp,Dp,Dpp,165,,,,,
Caaap,Caaa,Caaap,165,,,,,
Caaaa,Caaa,Caaaa,165,,,,,
Eala,Eal,Eala,165,,,,,
ABprpapaa,ABprpapa,ABprpapaa,165,,,,,
Ealp,Eal,Ealp,165,,,,,
ABprpapap,ABprpapa,ABprpapap,165,,,,,
Daa,Da,Daa,165,,,,,
Dpa,Dp,Dpa,165,,,,,
Dap,Da,Dap,165,,,,,
ABalpappa,ABalpapp,ABalpappa,165,,,,,
ABalpappp,ABalpapp,ABalpappp,165,,,,,
ABalpaapp,ABalpaap,ABalpaapp,165,,,,,
ABalpapaa,ABalpapa,ABalpapaa,165,,,,,
ABalpaapa,ABalpaap,ABalpaapa,165,,,,,
ABalpapap,ABalpapa,ABalpapap,165,,,,,
ABplaapap,ABplaapa,ABplaapap,170,,,,,
ABalaappp,ABalaapp,ABalaappp,170,,,,,
Cpaap,Cpaa,Cpaap,170,,,,,
ABalaappa,ABalaapp,ABalaappa,170,,,,,
ABplaapaa,ABplaapa,ABplaapaa,170,,,,,
ABplpppaa,ABplpppa,ABplpppaa,170,,,,,
ABplaaapa,ABplaaap,ABplaaapa,170,,,,,
Eplp,Epl,Eplp,170,,,,,
ABplaaapp,ABplaaap,ABplaaapp,170,,,,,
ABarpaapa,ABarpaap,ABarpaapa,170,,,,,
ABplpppap,ABplpppa,ABplpppap,170,,,,,
ABplaaaap,ABplaaaa,ABplaaaap,170,,,,,
Eprp,Epr,Eprp,170,,,,,
ABplppppa,ABplpppp,ABplppppa,170,,,,,
ABalappap,ABalappa,ABalappap,170,,,,,
Cpaaa,Cpaa,Cpaaa,170,,,,,
ABplaappa,ABplaapp,ABplaappa,170,,,,,
ABplpappp,ABplpapp,ABplpappp,170,,,,,
ABplappap,ABplappa,ABplappap,170,,,,,
ABplappaa,ABplappa,ABplappaa,170,,,,,
ABplapapp,ABplapap,ABplapapp,170,,,,,
ABalapaap,ABalapaa,ABalapaap,170,,,,,
ABprppppp,ABprpppp,ABprppppp,170,,,,,
ABprppppa,ABprpppp,ABprppppa,170,,,,,
ABplapapa,ABplapap,ABplapapa,170,,,,,
ABalappaa,ABalappa,ABalappaa,170,,,,,
ABprpppap,ABprpppa,ABprpppap,170,,,,,
ABprpppaa,ABprpppa,ABprpppaa,170,,,,,
ABalapaaa,ABalapaa,ABalapaaa,170,,,,,
ABplpapap,ABplpapa,ABplpapap,170,,,,,
Epla,Epl,Epla,170,,,,,
ABplpappa,ABplpapp,ABplpappa,170,,,,,
ABplaappp,ABplaapp,ABplaappp,170,,,,,
ABarpaapp,ABarpaap,ABarpaapp,170,,,,,
ABplpapaa,ABplpapa,ABplpapaa,170,,,,,
ABplaaaaa,ABplaaaa,ABplaaaaa,170,,,,,
Epra,Epr,Epra,170,,,,,
ABpraapap,ABpraapa,ABpraapap,170,,,,,
ABpraaaaa,ABpraaaa,ABpraaaaa,170,,,,,
ABalaaapa,ABalaaap,ABalaaapa,170,,,,,
ABprappaa,ABprappa,ABprappaa,170,,,,,
ABprapapa,ABprapap,ABprapapa,170,,,,,
ABpraaaap,ABpraaaa,ABpraaaap,170,,,,,
ABprapapp,ABprapap,ABprapapp,170,,,,,
ABplppppp,ABplpppp,ABplppppp,170,,,,,
ABpraapaa,ABpraapa,ABpraapaa,170,,,,,
ABpraappa,ABpraapp,ABpraappa,170,,,,,
ABpraappp,ABpraapp,ABpraappp,170,,,,,
ABalaaapp,ABalaaap,ABalaaapp,170,,,,,
ABprappap,ABprappa,ABprappap,170,,,,,
ABprpaapa,ABprpaap,ABprpaapa,175,,,,,
ABaraapaa,ABaraapa,ABaraapaa,175,,,,,
ABprppapp,ABprppap,ABprppapp,175,,,,,
ABaraapap,ABaraapa,ABaraapap,175,,,,,
ABplapaaa,ABplapaa,ABplapaaa,175,,,,,
ABarapppa,ABarappp,ABarapppa,175,,,,,
ABarpappp,ABarpapp,ABarpappp,175,,,,,
ABprapppa,ABprappp,ABprapppa,175,,,,,
ABprapaaa,ABprapaa,ABprapaaa,175,,,,,
ABarpapaa,ABarpapa,ABarpapaa,175,,,,,
ABaraappa,ABaraapp,ABaraappa,175,,,,,
ABplapaap,ABplapaa,ABplapaap,175,,,,,
ABprapaap,ABprapaa,ABprapaap,175,,,,,
ABplpaapp,ABplpaap,ABplpaapp,175,,,,,
ABaraappp,ABaraapp,ABaraappp,175,,,,,
ABarappap,ABarappa,ABarappap,175,,,,,
ABplpaapa,ABplpaap,ABplpaapa,175,,,,,
ABalaaaar,ABalaaaa,ABalaaaar,175,,,,,
ABarappaa,ABarappa,ABarappaa,175,,,,,
ABarapapp,ABarapap,ABarapapp,175,,,,,
ABplapppp,ABplappp,ABplapppp,175,,,,,
ABalaaaal,ABalaaaa,ABalaaaal,175,,,,,
ABarapapa,ABarapap,ABarapapa,175,,,,,
ABprppapa,ABprppap,ABprppapa,175,,,,,
ABprapppp,ABprappp,ABprapppp,175,,,,,
ABarapppp,ABarappp,ABarapppp,175,,,,,
ABplapppa,ABplappp,ABplapppa,175,,,,,
ABprpaapp,ABprpaap,ABprpaapp,175,,,,,
ABplppapp,ABplppap,ABplppapp,175,,,,,
ABarpapap,ABarpapa,ABarpapap,175,,,,,
ABalpaaap,ABalpaaa,ABalpaaap,175,,,,,
ABalpaaaa,ABalpaaa,ABalpaaaa,175,,,,,
ABplppapa,ABplppap,ABplppapa,175,,,,,
ABaraaapa,ABaraaap,ABaraaapa,175,,,,,
Cpapa,Cpap,Cpapa,175,,,,,
Cpapp,Cpap,Cpapp,175,,,,,
ABprppaaa,ABprppaa,ABprppaaa,175,,,,,
ABplppaap,ABplppaa,ABplppaap,175,,,,,
ABprppaap,ABprppaa,ABprppaap,175,,,,,
ABaraaapp,ABaraaap,ABaraaapp,175,,,,,
ABalaapaa,ABalaapa,ABalaapaa,175,,,,,
ABplppaaa,ABplppaa,ABplppaaa,175,,,,,
ABarpappa,ABarpapp,ABarpappa,175,,,,,
ABalaapap,ABalaapa,ABalaapap,175,,,,,
MSaapap,MSaapa,MSaapap,180,,,,,
ABarppppa,ABarpppp,ABarppppa,180,,,,,
ABarapaap,ABarapaa,ABarapaap,180,,,,,
MSaaaaa,MSaaaa,MSaaaaa,180,,,,,
ABarapaaa,ABarapaa,ABarapaaa,180,,,,,
ABplpaaaa,ABplpaaa,ABplpaaaa,180,,,,,
ABarppppp,ABarpppp,ABarppppp,180,,,,,
Caapa,Caap,Caapa,180,,,,,
ABplpaaap,ABplpaaa,ABplpaaap,180,,,,,
ABprpaaap,ABprpaaa,ABprpaaap,180,,,,,
ABarpaaaa,ABarpaaa,ABarpaaaa,180,,,,,
ABaraaaaa,ABaraaaa,ABaraaaaa,180,,,,,
ABarppapp,ABarppap,ABarppapp,180,,,,,
MSaaaap,MSaaaa,MSaaaap,180,,,,,
ABarppapa,ABarppap,ABarppapa,180,,,,,
Caapp,Caap,Caapp,180,,,,,
ABarpaaap,ABarpaaa,ABarpaaap,180,,,,,
MSaapaa,MSaapa,MSaapaa,180,,,,,
ABaraaaap,ABaraaaa,ABaraaaap,180,,,,,
ABprpaaaa,ABprpaaa,ABprpaaaa,180,,,,,
Cppap,Cppa,Cppap,185,,,,,
MSpapaa,MSpapa,MSpapaa,185,,,,,
Cpppp,Cppp,Cpppp,185,,,,,
Cpppa,Cppp,Cpppa,185,,,,,
MSpaaap,MSpaaa,MSpaaap,185,,,,,
Cppaa,Cppa,Cppaa,185,,,,,
Cappa,Capp,Cappa,185,,,,,
MSpapap,MSpapa,MSpapap,185,,,,,
Capap,Capa,Capap,185,,,,,
MSpaaaa,MSpaaa,MSpaaaa,185,,,,,
Capaa,Capa,Capaa,185,,,,,
Cappp,Capp,Cappp,185,,,,,
ABarpppap,ABarpppa,ABarpppap,187,,,,,
ABarppaaa,ABarppaa,ABarppaaa,187,,,,,
ABarpppaa,ABarpppa,ABarpppaa,187,,,,,
ABarppaap,ABarppaa,ABarppaap,187,,,,,
MSapapa,MSapap,MSapapa,188,,,,,
MSaaapp,MSaaap,MSaaapp,188,,,,,
MSaaapa,MSaaap,MSaaapa,188,,,,,
MSapaaa,MSapaa,MSapaaa,188,,,,,
MSapaap,MSapaa,MSapaap,188,,,,,
MSapapp,MSapap,MSapapp,188,,,,,
MSppapa,MSppap,MSppapa,190,,,,,
MSppaaa,MSppaa,MSppaaa,190,,,,,
MSpaapa,MSpaap,MSpaapa,190,,,,,
MSppapp,MSppap,MSppapp,190,,,,,
MSppaap,MSppaa,MSppaap,190,,,,,
MSpaapp,MSpaap,MSpaapp,190,223,,,,
MSapppa,MSappp,MSapppa,194,,,,,
MSappap,MSappa,MSappap,194,,,,,
MSaappa,MSaapp,MSaappa,194,,,,,
MSappaa,MSappa,MSappaa,194,,,,,
MSapppp,MSappp,MSapppp,194,,,,,
MSaappp,MSaapp,MSaappp,194,,,,,
MSppppa,MSpppp,MSppppa,195,,,,,
MSppppp,MSpppp,MSppppp,195,,,,,
MSpppap,MSpppa,MSpppap,195,,,,,
MSpappp,MSpapp,MSpappp,195,,,,,
MSpappa,MSpapp,MSpappa,195,,,,,
MSpppaa,MSpppa,MSpppaa,195,,,,,
Dapp,Dap,Dapp,200,,,,,
Dppa,Dpp,Dppa,200,,,,,
Dppp,Dpp,Dppp,200,,,,,
Dapa,Dap,Dapa,200,,,,,
ABalapappp,ABalapapp,ABalapappp,210,,,,,
Daap,Daa,Daap,210,,,,,
ABplpappaa,ABplpappa,ABplpappaa,210,,,,,
ABplpappap,ABplpappa,ABplpappap,210,250,,,,
Daaa,Daa,Daaa,210,,,,,
Dpaa,Dpa,Dpaa,210,,,,,
Dpap,Dpa,Dpap,210,,,,,
ABalapappa,ABalapapp,ABalapappa,210,,,,,
ABarapappp,ABarapapp,ABarapappp,210,,,,,
ABarapappa,ABarapapp,ABarapappa,210,,,,,
ABalappppa,ABalapppp,ABalappppa,210,,,,,
ABalappppp,ABalapppp,ABalappppp,210,,,,,
ABalapppap,ABalapppa,ABalapppap,213,,,,,
ABalapppaa,ABalapppa,ABalapppaa,213,,,,,
hyp7,ABarpaapp,ABarpaappp,215,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalappapa,ABalappap,ABalappapa,215,,,,,
ABalappapp,ABalappap,ABalappapp,215,,,,,
ABalpapppa,ABalpappp,ABalpapppa,215,,,,,
ABalpapppp,ABalpappp,ABalpapppp,215,,,,,
P7,ABplappap,ABplappapp,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 L).",,
hyp7,ABarpaapp,ABarpaappa,215,,hypoderm,Embryonic large hypodermal syncytium.,,
V3L,ABplappap,ABplappapa,215,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp7,ABplaappp,ABplaapppa,215,,hypoderm,Embryonic large hypodermal syncytium.,,
ABarapapaa,ABarapapa,ABarapapaa,215,,,,,
ABalapapap,ABalapapa,ABalapapap,215,,,,,
ABalapapaa,ABalapapa,ABalapapaa,215,250,,,,
P5,ABplappaa,ABplappaap,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 L).",,
P3,ABplappaa,ABplappaaa,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 L).",,
ABarapapap,ABarapapa,ABarapapap,215,,,,,
ABalapaapp,ABalapaap,ABalapaapp,215,,,,,
ABplapappp,ABplapapp,ABplapappp,215,,,,,
P11,ABplapapp,ABplapappa,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 L).",,
P9,ABplapapa,ABplapapap,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 L).",,
ABalapaaap,ABalapaaa,ABalapaaap,215,,,,,
ABplapapaa,ABplapapa,ABplapapaa,215,,,,,
ABplpaappa,ABplpaapp,ABplpaappa,215,,,,,
ABplpaappp,ABplpaapp,ABplpaappp,215,,,,,
ABalapaaaa,ABalapaaa,ABalapaaaa,215,,,,,
ABalapaapa,ABalapaap,ABalapaapa,215,,,,,
hyp7,ABplaappp,ABplaapppp,215,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplpapapp,ABplpapap,ABplpapapp,215,,,,,
ABplpapapa,ABplpapap,ABplpapapa,215,,,,,
ABplpapaap,ABplpapaa,ABplpapaap,217,,,,,
ABalppappa,ABalppapp,ABalppappa,217,,,,,
ABalppappp,ABalppapp,ABalppappp,217,,,,,
ABalpppppa,ABalppppp,ABalpppppa,217,,,,,
ABalpappap,ABalpappa,ABalpappap,217,,,,,
ABalpppppp,ABalppppp,ABalpppppp,217,,,,,
ABalpappaa,ABalpappa,ABalpappaa,217,,,,,
ABplpapaaa,ABplpapaa,ABplpapaaa,217,,,,,
ABarappppa,ABarapppp,ABarappppa,218,,,,,
ABarappppp,ABarapppp,ABarappppp,218,,,,,
ABplapaaaa,ABplapaaa,ABplapaaaa,220,,,,,
ABprpaappp,ABprpaapp,ABprpaappp,220,,,,,
ABprpaappa,ABprpaapp,ABprpaappa,220,,,,,
ABplpapppa,ABplpappp,ABplpapppa,220,,,,,
ABpraaappp,ABpraaapp,ABpraaappp,220,,,,,
ABpraaappa,ABpraaapp,ABpraaappa,220,,,,,
ABplpapppp,ABplpappp,ABplpapppp,220,,,,,
ABalaapppp,ABalaappp,ABalaapppp,220,,,,,
ABplppppaa,ABplppppa,ABplppppaa,220,,,,,
hyp7,Caaaa,Caaaap,220,,hypoderm,Embryonic large hypodermal syncytium.,,
ABprpappap,ABprpappa,ABprpappap,220,,,,,
ABplpppppp,ABplppppp,ABplpppppp,220,,,,,
ABplpppppa,ABplppppp,ABplpppppa,220,,,,,
ABplppppap,ABplppppa,ABplppppap,220,,,,,
hyp7,Cpaap,Cpaapa,220,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Cpaap,Cpaapp,220,,hypoderm,Embryonic large hypodermal syncytium.,,
ABprpappaa,ABprpappa,ABprpappaa,220,,,,,
ABprpapapp,ABprpapap,ABprpapapp,220,,,,,
ABprpapapa,ABprpapap,ABprpapapa,220,,,,,
ABplapaaap,ABplapaaa,ABplapaaap,220,,,,,
ABalaapppa,ABalaappp,ABalaapppa,220,,,,,
hyp7,Caaaa,Caaaaa,220,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalppapaa,ABalppapa,ABalppapaa,220,,,,,
ABalppapap,ABalppapa,ABalppapap,220,,,,,
ABarapppap,ABarapppa,ABarapppap,220,,,,,
ABarapppaa,ABarapppa,ABarapppaa,220,,,,,
ABarappapp,ABarappap,ABarappapp,220,,,,,
ABarappapa,ABarappap,ABarappapa,220,,,,,
hyp7,Cpaaa,Cpaaaa,222,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Cpaaa,Cpaaap,222,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Caaap,Caaapa,222,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,Caaap,Caaapp,222,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalppppaa,ABalppppa,ABalppppaa,223,,,,,
P8,ABprappap,ABprappapp,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 R).",,
P6,ABprappaa,ABprappaap,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 R).",,
P4,ABprappaa,ABprappaaa,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 R).",,
ABprapappp,ABprapapp,ABprapappp,223,,,,,
P12,ABprapapp,ABprapappa,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 R).",,
V3R,ABprappap,ABprappapa,223,,,"Seam hypodermal cell, postembryonic blast cell.",,
P10,ABprapapa,ABprapapap,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 R).",,
hyp7,ABpraappp,ABpraapppp,223,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,ABpraappp,ABpraapppa,223,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalppppap,ABalppppa,ABalppppap,223,,,,,
ABprapapaa,ABprapapa,ABprapapaa,223,,,,,
P1,ABplapaap,ABplapaapp,225,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 L).",,
ABprpaapap,ABprpaapa,ABprpaapap,225,,,,,
H0L,ABplaaapp,ABplaaappa,225,,hypoderm,Seam hypodermal cell.,,
H1L,ABplaaapp,ABplaaappp,225,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABplpppapp,ABplpppap,ABplpppapp,225,255,,,,
ABplpppapa,ABplpppap,ABplpppapa,225,,,,,
